Timestamp,MachineID,Plant,Temperature,Vibration,Pressure,EnergyConsumption,ProductionUnits,DefectCount,MaintenanceFlag,Hour,Plant_Hour,temperature_mean,Temperature std_dev,vibration mean,vibration std dev,pressure mean,presure std dev,Anomaly,Temperature Z ,Vibration Z,Pressure Z,Condition Index
01-01-2025 00:00,135,Plant_B,70.3680897,5.924251615,30.14630578,187.9023188,158,2,0,0,Plant_B_0,69.35641215,9.549780266,4.887304878,1.537361341,29.99575558,4.611614179,Normal,0.105937259,0.674497731,0.03264588,0.271026957
01-01-2025 01:00,114,Plant_A,59.63230426,5.408590857,24.65149822,270.4208239,170,3,0,1,Plant_A_1,70.0679844,10.03369148,5.005595568,1.56592091,29.84342144,5.277661089,Normal,-1.040063885,0.25735354,-0.98375457,-0.588821638
01-01-2025 02:00,147,Plant_C,71.51337544,4.277120848,33.92224884,205.5192584,68,2,1,2,Plant_C_2,70.86709179,9.694719444,4.951785406,1.447868408,30.1669579,4.63851835,Normal,0.066663471,-0.465970909,0.809588462,0.136760341
01-01-2025 03:00,138,Plant_B,84.74284581,4.01350746,37.43134639,177.0032425,75,3,0,3,Plant_B_3,69.02431075,9.613041986,4.878057198,1.476730434,29.86624156,5.047470995,Normal,1.635126018,-0.585448581,1.498791145,0.849489527
01-01-2025 04:00,116,Plant_C,61.90459799,3.40242152,24.75831168,272.7243527,187,4,0,4,Plant_C_4,69.53871031,10.56763131,5.018311107,1.49013259,30.0224288,5.155061979,Normal,-0.722405248,-1.08439316,-1.021154963,-0.942651124
01-01-2025 05:00,109,Plant_C,89.65419232,5.274782587,38.7856345,195.2560809,129,5,1,5,Plant_C_5,70.67430571,9.973610996,4.982449978,1.457799829,30.06569678,4.849684827,Normal,1.903010517,0.200530006,1.798042146,1.300527556
01-01-2025 06:00,108,Plant_A,59.28537975,5.723075736,30.55012451,318.6543943,169,2,0,6,Plant_A_6,70.22335894,10.01905316,5.044671236,1.457813459,29.99926019,4.690673505,Normal,-1.091717852,0.465357551,0.117438215,-0.169640695
01-01-2025 07:00,136,Plant_B,80.85106537,4.739044997,27.87336527,310.7357953,187,3,0,7,Plant_B_7,69.45952426,10.21893043,5.033684647,1.384431978,30.45160553,5.138927362,Normal,1.114748866,-0.212823494,-0.501707861,0.133405837
01-01-2025 08:00,139,Plant_B,55.2672174,4.581760248,15.88107805,253.0597544,161,4,1,8,Plant_B_8,69.98509404,9.381026635,4.995888051,1.59046444,29.83693972,5.259500418,Normal,-1.56889829,-0.26038168,-2.653457658,-1.494245876
01-01-2025 09:00,127,Plant_B,65.22027605,5.945171859,31.58800658,301.7054182,168,2,0,9,Plant_B_9,70.01190583,9.707438797,5.117471723,1.547348055,29.7469825,4.968429911,Normal,-0.493603914,0.534915292,0.37054444,0.137285272
